I in mA +-10 mA,P in mW +- 10
600,80
698,140
797,200
895,260
1007,320
1105,380
1199,440
1297,500
1395,560
1498,610
1597,670
1695,730
1793,790
1887,850
1994,910
2093,960
2191,1020
2289,1070
2387,1120
2459,1160
